id,codigo,nombre,estado,municipio,region,cantidad_postes,fecha_autorizacion
vgt_2023_p_874,VGT-2023-P-874,TENDIDO DE FIBRA OPTICA RIO ACARIGUA,PORTUGUESA,ACARIGUA ARAURE,andes,259,2024-01-24
vgt_2023_p_1453,VGT-2023-P-1453,TENDIDO DE FIBRA OPTICA DURIGUA VIEJA URB. LA VIRGINIA,PORTUGUESA,PAEZ,andes,318,2024-01-24
vgt_2023_p_969,VGT-2023-P-969,"TENDIDO DE FIBRA OPTICA TRONCAL CALLE 5 - PARQUE RESIDENCIAL LOS ROBLES, ACARIGUA",PORTUGUESA,,andes,70,2024-01-24
vgt_2023_p_1445,VGT-2023-P-1445,TENDIDO DE FIBRA OPTICA BELLAS ARTES LOS CORTIJOS,PORTUGUESA,ACARIGUA ARAURE,andes,313,2024-01-24
vgt_2023_p_1430,VGT-2023-P-1430,TENDIDO DE FIBRA OPTICA TRONCAL 5 DE DICIEMBRE VIA MI JAGUITO,PORTUGUESA,PAEZ,andes,88,2024-01-24
vgt_2023_p_1442,VGT-2023-P-1442,"TENDIDO DE FIBRA OPTICA 5 DE DICIEMBRE, PADRE MORENO, 15 DE MARZO",PORTUGUESA,,andes,296,2024-01-24
vgt_2023_p_1490,VGT-2023-P-1490,TENDIDO DE FIBRA OPTICA PARTE BAJA DE 5 DE DICIEMBRE LOS ROBLES,PORTUGUESA,,andes,247,2024-01-24
vgt_2023_p_1499,VGT-2023-P-1499,TENDIDO DE FIBRA OPTICA BARAURE I,PORTUGUESA,ACARIGUA ARAURE,andes,115,2024-01-24
vgt_2023_p_1452,VGT-2023-P-1452,TENDIDO DE FIBRA OPTICA DURIGUA 2 Y 3,PORTUGUESA,PAEZ,andes,266,2024-01-24
vgt_2023_p_1462,VGT-2023-P-1462,TENDIDO DE FIBRA OPTICA URB. VALLE ARRIBA,PORTUGUESA,,andes,137,2024-01-24
vgt_2023_p_1460,VGT-2023-P-1460,TENDIDO DE FIBRA OPTICA TRONCAL AV. NEGRO PRIMERO,PORTUGUESA,,andes,64,2024-01-24
vgt_2023_p_1463,VGT-2023-P-1463,TENDIDO DE FIBRA OPTICA LAS DELICIAS,PORTUGUESA,,andes,170,2024-01-24
vgt_2023_p_1495,VGT-2023-P-1495,TENDIDO DE FIBRA OPTICA BARRIO LAS AMERICAS,PORTUGUESA,,andes,89,2024-01-24
vgt_2023_p_1498,VGT-2023-P-1498,TENDIDO DE FIBRA OPTICA URB. MIRANDA PAEZ Y SUCRE,PORTUGUESA,GUANARE,andes,124,2024-01-24
vgt_2023_p_1059,VGT-2023-P-1059,TENDIDO DE FIBRA OPTICA PIRITU EN PROCESO DE DESINCORPORACION (VGT-2024-DP-031),PORTUGUESA,STELLER,andes,726,2024-01-24
vgt_2023_p_1072,VGT-2023-P-1072,REGISTRO DE POSTEADURA NUEVA TRONCAL PIRITU- TUREN,PORTUGUESA,STELLER,andes,174,2024-01-24
vgt_2024_p_55,VGT-2024-P-55,TENDIDO DE FIBRA OPTICA URB. LOS MALABARES,PORTUGUESA,GUANARE,andes,66,2024-05-29
vgt_2024_p_200,VGT-2024-P-200,TENDIDO DE FIBRA TRONCAL EL MIRADOR  SAN ANTONIO,PORTUGUESA,,andes,21,2024-05-29
vgt_2024_p_207,VGT-2024-P-207,TENDIDO DE FIBRA  ÓPTICA SECTOR COLOMBIA NORTE,PORTUGUESA,,andes,51,2024-05-29
vgt_2024_p_408,VGT-2024-P-408,TENDIDO DE FIBRA  ÓPTICA SECTOR PRADOS DEL SOL,PORTUGUESA,ACARIGUA ARAURE,andes,157,2024-05-29
vgt_2024_p_415,VGT-2024-P-415,TENDIDO DE FIBRA OPTICA URB. LA COROMOTANA,PORTUGUESA,GUANARE,andes,13,2024-05-29
vgt_2024_p_416,VGT-2024-P-416,TENDIDO DE FIBRA OPTICA SECTOR NAZARENO,PORTUGUESA,,andes,41,2024-05-29
vgt_2024_p_397,VGT-2024-P-397,SECTOR LA GONZALO,PORTUGUESA,ACARIGUA ARAURE,andes,120,2024-05-01
